Company,Carbon_Emissions_Score,Community_Engagement_Score,Cybersecurity_Score,Diversity_Equity_Inclusion_Score,ESG_Disclosure_Score,Energy_Efficiency_Score,Governance_Score,Human_Rights_Score,Labor_Practices_Score,Renewable_Energy_Percentage,Sustainable_Products_Score,Transparency_Score,Waste_Management_Score,Water_Usage
Company_86,94.7,71.32,75.01,74.23,54.33,77.21,63,65.88,90.17,37.76,51.07,92.3,54.71,28605.02
Company_31,85.79,80.26,57.23,57.06,82.65,64.49,95.64,90.49,65.55,55.22,97.6,96.18,51.89,18307.6
Company_44,55.24,56.27,53.02,97.91,82.06,99.66,71.31,97.14,88.82,95.55,66.87,64.45,57.32,39309.2
Company_10,66.15,73.88,67.69,96.16,56.8,80.68,50.88,80.76,76.17,99.88,51.86,93.36,79.1,24523.31
Company_55,76.55,52.1,97.69,60.72,88.14,68.71,77.62,77.86,90.48,11.37,96.64,73.55,99.03,21501.57
Company_26,52.7,67.06,89.52,87.72,59.75,72.67,78.93,50.5,94.68,91.34,57.75,83.25,96.18,34609.28
Company_23,69.89,76.71,76.48,82.6,64.27,50.36,64.23,91.27,94.64,52.34,72.44,58.59,58.86,2938.58
Company_30,58.41,88.54,62.8,58.71,91.31,55.86,79.8,58.65,78.74,17.47,83.53,55.61,66.51,12192.19
Company_76,83.54,65.56,80.01,94.65,94.17,77.53,74.47,64.58,82.04,40.18,75.29,72.73,97.54,34122.62
Company_7,52.87,92.11,67.97,86.82,71.43,91.56,63.48,69.99,99.35,24.22,91.79,81.93,78.7,40885.55
Company_47,82.42,52.71,59.41,76.98,50.68,95.91,68.04,87.08,87.38,61.71,98.47,72.19,77.21,14726.99
Company_19,54.75,71.03,71.03,99.57,50.12,89.68,85.33,59.65,61.82,37.48,90.31,50.92,88.29,44061.87
Company_7,54.17,90.47,69.16,59.99,60.44,54.53,96.06,59.28,92.46,98.62,71.74,84.33,80.9,20879.57
Company_27,53.86,59.52,50.39,69.93,61.56,63.82,96.84,68.96,64.64,95.34,95.21,73.77,88.03,19999.18
Company_89,72.44,53.68,94.8,96.06,66.72,79.1,62.5,55.51,83.29,2.88,78.63,50.58,65.82,30501.21
Company_97,90.69,61.93,59.11,81.88,70.86,72.05,57.86,61.29,79.91,79.98,54.35,55.47,90.43,21240.4
Company_84,97.26,58.43,79.06,76.36,73.95,59.29,87.85,54.89,69.84,42.34,66.33,98.34,96.42,8353.55
Company_47,94.18,81.2,80.91,79,54.27,64.38,68.36,66.86,57.56,86.37,85.67,91.8,83.21,22574.72
Company_89,89.62,85.71,70.05,65.8,95.63,58.16,73.23,81.22,95.51,59.48,96.23,86.43,99.25,38653.25
Company_32,54.93,68.21,65.27,54.68,86.17,65.86,62.9,55.8,64.64,31.18,90.3,70.82,97.86,48569.42
Company_28,53.72,70.11,66.06,87.05,94.24,60.19,94.79,63.18,78.67,68.24,96.1,95.23,53.72,33966.95
Company_41,82.73,54.47,51.45,59.6,56.11,73.78,50.37,99.02,54.54,88.29,74.65,55.21,90.72,27594.68
Company_84,93.84,96.88,98.24,76.61,83.23,83.61,92.85,76.12,91.41,16.23,54.39,73.51,72.6,6554.41
Company_49,67.88,69.94,52.86,78.49,92.6,62.98,83.29,96.49,95.55,12.99,64.54,94.72,51.53,42090.52
Company_57,77.65,53.49,56.11,71.06,63.56,92.59,64.01,84.42,65.15,98.67,83.04,93.93,53.76,48004.1
Company_61,65.86,94.12,56.31,63.74,57.29,69.79,87.64,61.44,92.15,89.46,82.21,53.66,71.82,15290.43
Company_11,71.14,95.97,71.13,90.33,90.45,70.02,97.07,54.89,85.08,23.81,80.67,65.93,61.22,26049.45
Company_9,92.28,51.69,66.18,88.06,97.33,71.23,61.68,87.6,63.52,0.95,89.63,91.08,66.24,25267.08
Company_14,54.81,55.26,84.18,82.66,82.09,73.79,96.57,64.53,71.26,24.21,94.24,97.32,99.97,44200.91
Company_70,79.93,61.37,50.68,78.83,66.06,81.95,84.23,87.38,52.68,76.6,77.87,55.32,76.78,34513.12
Company_87,66.14,80.44,62.43,65.32,61.91,63.92,74.92,85.11,68.56,65.3,82.72,87.95,64.17,43074.64
Company_62,51.72,52.44,99.17,91.81,62.07,75.1,68.14,83.29,92.09,86.26,74.18,89.76,68.01,33577.83
Company_28,73.69,51.06,86.21,81.07,84.83,87.38,77.85,63.43,50.89,16.92,81.01,82.86,75.92,5047.71
Company_46,51.63,93.94,80.28,53.37,86.5,96.09,63.35,69.53,75.27,20.55,69.84,94.59,57.66,18154.93
Company_37,53.85,58.88,74.4,93.09,84.5,54.74,51.76,86.18,94.93,78.92,91.46,82.3,79.84,47055.49
Company_79,51.3,96.83,66.61,52.7,60.07,99.84,75.12,88.11,57.5,11.77,83.39,56.98,87.26,48876.66
Company_71,57.43,75.96,67.2,54.07,74.3,58.01,66.47,56.85,50.12,83.32,84.51,87.83,62.07,41473.92
Company_55,56.16,65.78,74.59,98.25,63.96,73.02,54.6,58.72,82.64,14.4,74.73,84.98,55.81,9568.29
Company_33,58.99,82.47,72.77,57.55,59.26,83.81,80.46,71.96,61.92,11.19,74.06,80.88,65.48,39433.59
Company_79,64.37,95.35,93.18,99.82,97.96,98.88,56.8,89.68,61.31,64.1,93.5,78.73,83.13,17776.59
Company_46,84.45,67.41,57.45,90.04,61.19,77.37,85.31,64.77,89.19,46.03,74.43,76.03,74.72,37220.37
Company_81,54.98,52.54,51.47,79.15,66.03,89.24,54.25,55.1,94.41,65.56,53.68,66.41,53.57,48083.83
Company_48,97.28,60.56,91.14,98.72,76.26,58.91,63.95,88.81,64.42,10.36,86.59,56.31,63.01,34143.44
Company_30,92.81,78.78,60.36,76.19,85.19,77.89,66.09,90.27,52.96,76.41,88.41,91.55,89.27,45411.09
Company_14,62.43,90.79,87.03,93.9,60.26,76.34,97.94,80.9,56.19,11.16,97.49,59.29,67.66,1584.94
Company_49,82.48,85.72,77.22,60.46,55.34,80.86,53.38,61.59,96.27,30.16,92.12,89.34,90.49,26277.35
Company_32,77.02,62.51,63.33,71.88,61.57,81.9,87.02,56.17,61.17,6.12,60.44,58.45,99.23,10669.77
Company_47,65.66,60.22,63.19,50.76,61.63,92.82,66.04,67.8,82.5,13.02,75.39,86.18,94.12,2527.5
Company_86,56.22,64.02,74.06,78.23,75.87,83.39,87.3,66.1,90.3,91.07,56.81,98.76,90.56,26047.52
Company_98,58.3,60.82,51.67,73.22,71.31,74.32,99.61,64.74,66.06,94.72,92.49,88.59,67.71,17689.95
Company_49,70.55,71.54,54.66,83.13,88.28,74.67,70.08,61.65,54.99,6.91,89.44,55.22,82.23,34372.09
Company_76,66.62,73.33,88.7,60.28,59.52,51.28,55.7,84.26,61.52,7.72,74.64,60.75,62.25,37434.6
Company_74,81.55,57.19,54.83,79.04,94.81,70.71,93.96,64.34,95.98,4.51,75.87,59.13,90.54,11349.17
Company_35,72.44,66.42,56.72,63.5,57.37,56.35,73.91,93.95,96.05,42.46,53.03,83.03,71.58,34945.86
Company_4,66.76,51.71,67.28,72.06,56.47,69.23,81.79,90.72,99.33,74.8,95.33,77.44,95.76,44664.25
Company_85,98.48,70.72,92.98,85.09,98.93,61.71,50.56,54.94,80.22,96.72,90.11,96.88,84.77,2112.01
Company_96,63.15,59.27,98.49,99.94,85.96,66.33,87.21,88.99,91.22,29.44,72.36,63.01,85.2,16769.83
Company_82,68.08,86.47,82.3,84.53,74.22,94.68,66.29,99.35,50.48,4.85,89.35,89.94,68.5,5161.12
Company_77,86.82,52.61,81.5,53.58,93.2,51.77,94.21,53.92,93.66,62.91,67.46,50.96,99.05,34298.12
Company_10,92.15,70.62,92.46,65.47,98.81,63.59,62.87,50.68,94.47,29.29,51.87,62.6,71.67,39387.97
Company_60,69.25,92.98,69.82,90.49,68.06,64.78,67.55,50.95,99.68,60.5,77.58,56.73,98.39,39804.81
Company_57,71.1,90.72,67.65,73.53,53.96,59.62,66.57,99.39,55.61,10.68,83.38,84.06,51.98,5074.62
Company_48,52.99,74.86,53.56,51.12,66.91,68.41,62.01,51.08,93.4,7.06,96.48,71.64,66.5,34076.82
Company_36,74.05,61.43,91.15,83.07,90.93,92.84,93.9,91.66,55.08,96.24,51.99,85.03,98.53,40393.71
Company_16,79.2,88.05,82.18,98.17,75.49,52.9,54.98,96.03,63.9,28.29,79.69,80.35,68.11,20698.03
Company_98,59,81.64,63.59,61.4,88.63,54.2,75.42,93.34,92.81,86.39,89.76,87.29,83.21,34476.01
Company_88,63.95,91.72,98.57,57.86,87.41,85.62,78.91,66.23,78.73,26.62,85.88,95.47,90.85,25162.59
Company_74,99.62,57.73,87.44,69.22,93.2,50.25,92.54,62.75,70.26,79.56,94.1,78.02,83.03,1980.74
Company_65,74.72,60.29,76.56,73.92,83.68,97.88,83.3,73.87,90.14,47,92.69,66.08,87.6,1895.93
Company_36,92.82,71.26,97.52,72.73,92.33,78.15,71.17,78.58,65.33,45.77,71.76,87.68,92.75,18179.94
Company_89,80.53,93.23,74.81,58.18,56.31,80.07,91.93,78.84,82.43,44.83,60.53,96.42,94.71,29828.05
Company_2,76.55,79.56,83.55,78.76,68.74,87.6,51.31,82.63,86.68,89.1,60.63,99.01,72.37,18396.8
Company_63,52.32,97.23,52.77,98.3,99.72,63.87,95.84,63.58,67.77,84.74,72.51,98.46,72.27,15847.54
Company_96,50.91,66.19,68.51,80.89,91.54,68.43,51.79,81.05,81.15,45.83,76.91,99.67,64.1,5192.04
Company_28,74.53,83.66,60.53,63.45,66.84,63.36,66.83,83.46,73.67,93.95,97.11,91.4,87.32,47539.1
Company_89,63.57,86.69,56.54,51.32,67.07,85.43,78.26,60.79,50.49,47.04,72.47,81.25,99.14,10003.46
Company_90,88.73,86.77,82.26,94.04,97.34,78.59,74.9,77.77,99.55,86.34,92.07,71.32,83.61,24265.33
Company_52,51.14,95.22,80,51.56,88.89,71.18,81.81,71.76,93.76,17.25,63.21,91.19,80.51,21077.67
Company_37,59.83,62.8,63.91,91.55,71.62,52.83,90.1,61.2,74.79,68.08,89.05,55.31,74.1,18657.58
Company_37,78.21,67.21,54.96,84.02,51.09,55.58,79.1,91.82,73.54,60.74,58.68,80.32,59.65,4166.85
Company_45,71.35,65.39,86.85,57.1,83.49,53.1,52.67,51.06,53.17,85,60.79,50.92,81.24,24345.17
Company_27,97.35,84.84,83.64,71.61,58.78,61.58,93.02,89,81.18,0.38,54.88,81.94,91.56,24535.93
Company_79,80.66,79.98,54.72,65.03,51.97,84.71,95.06,53.41,55.35,46.21,57.78,71.73,78.62,6781.2
Company_46,79.51,69.24,71.61,90.49,78.14,54.11,91.32,95.3,99.07,60.27,99.64,71.64,57.25,5698.52
Company_75,62.69,94.33,76.5,59.44,86.05,97.37,83.78,67.86,93.09,99.75,87.29,65,64.5,11625.3
Company_32,73.7,56.83,89.64,88.9,62.18,65.32,52.69,90.81,86.55,47.49,93.71,99.77,77.49,24487.7
Company_74,60.22,81.68,83.78,92.07,57.9,57.92,67.63,72.18,80.32,84.19,63.9,85.15,52.33,4656.38
Company_32,84.55,93.03,53.96,88.11,94.25,97.71,74.37,86.69,93.98,83.21,76.32,58.57,85.93,8035.57
Company_68,98.38,92.85,58.27,74.89,95.97,75.32,76.92,54.17,64.73,70.5,72.16,68.86,74.01,22679.72
Company_80,97.86,53.87,94.79,55.02,61.02,59.13,65.84,83.29,52.51,2.02,50.91,73.01,87.47,19664.02
Company_14,78.34,64.56,69.78,89.34,52.81,88.78,62.42,96.29,71.12,92.32,71.89,90.02,63.99,7597.91
Company_41,51.5,97.72,54.58,83.09,55.69,68.5,51.52,66.16,65.11,84.33,69.78,60.94,95.13,29539.55
Company_8,84.72,74.98,61.66,84.65,59.53,85.79,63.76,95.26,72.55,2.78,70.74,59.24,99.36,36471.07
Company_14,85.28,93.74,54.89,60.66,91.69,99.88,60.65,74.05,81.68,84.15,52.21,94.06,98.77,35309.71
Company_38,78.28,50,53.87,77.58,95.97,53.84,92.64,57.96,86.3,1.56,94.82,76.21,89.94,21272.84
Company_43,63.5,91.73,91.43,58.55,92.76,71.32,82.52,98.79,63.54,72.19,67.07,54.17,70.14,34930.61
Company_72,85.56,80.56,95.57,66.95,65.79,89.31,54.15,62.12,53.5,94.37,55.63,98.1,97.84,2515.99
Company_81,70.32,80.35,70.86,89.02,85.14,57.56,89.94,63.7,96.35,99.67,87.83,92.37,70.31,41695.89
Company_33,95.64,79.53,63.17,73.61,63.67,66.61,50.41,58.97,70.04,5.69,63.05,87.31,57.48,42291.3
Company_65,70.75,78.09,91.37,92.64,86.94,86.45,93.99,57.97,88.86,11.58,55.47,54.86,74.6,6371.83
Company_8,68.45,69.07,97.87,83.56,67.71,97.36,93.14,74.51,77.83,73.8,70.07,94.38,78.38,28260.59
Company_34,63.54,50.94,76.94,63.95,98.65,95.12,56.87,63.03,57.25,79.1,70.22,85,95.31,15194.91
Company_6,53.24,52.15,57.15,82.9,94.1,61.37,98.97,70.54,62.6,99.4,80.87,53.14,83.45,41137.83
Company_93,78.17,53.89,63.23,96.35,69.11,64.74,72.26,76.95,71.96,42.92,50.53,71.3,93.7,25740.56
Company_74,73.62,54.18,51.89,89.34,86.86,61.28,69.57,84.16,65.64,45.9,56.07,89.83,87.41,33912.98
Company_56,50.7,58.95,64.2,98.08,76.84,93.54,85.52,50.3,94.96,55.36,95.63,68.39,67.39,34702.78
Company_59,71.84,77.66,61.63,89.96,74.41,71.39,71.67,84.4,80.21,82.76,57.97,79.31,74.16,26944.23
Company_16,62.95,97.69,73.19,55.54,97.6,81.75,57.92,87.27,81.11,19.63,76.74,98.65,89.78,1522.99
Company_89,52.72,69.55,86.73,88.52,79.2,78.81,67.26,63.38,64.33,87.83,73.27,76.67,58.53,26669.99
Company_70,51.46,57.44,74.54,70.25,76.61,88.71,56.45,70.75,87.15,53.97,92.98,82.91,67.11,9641.94
Company_9,92.5,94.14,55.28,82.69,72.88,58.42,85.91,61.32,68.58,35.17,66.85,56.16,52.36,43874.74
Company_57,94.95,69.29,99.34,99.13,90.26,71.78,70.29,67.36,92.98,74.62,96.18,56.64,70.67,37910.58
Company_47,62.17,97.26,50.98,57.21,57.41,75.67,53.03,66.31,63.8,54.96,52.3,80.72,59.4,43224.55
Company_3,80.63,81.8,64.38,91.12,93.1,96.57,95.3,74.9,54.85,91.48,92.01,55.86,90.97,28398.33
Company_8,99.11,61.57,51.37,64.64,98.01,71.85,64.36,98.12,92.58,79.01,87.76,50.29,66.13,32346.37
Company_56,53.1,78.26,92.46,70.7,80.46,65.66,85.45,92.63,81.44,38.38,94.38,62.25,82.51,35376.58
Company_48,81.19,56.32,82.74,98.88,97.36,64.13,81.77,87.38,91.07,46.99,52.88,78.85,94.18,1260.42
Company_21,92.44,81.16,96.38,50.22,52.39,68.42,97.2,96.06,89.75,11.83,94.86,66.39,99.89,21847.19
Company_63,66.42,50.13,58.19,50.01,74.24,95.15,64.14,51.22,58,32.55,58.23,65.74,75.4,24627.65
Company_24,50.66,71.89,75.51,65.98,52.8,98.1,68.49,59.43,57.85,9.19,73.41,83.62,68.04,34979.95
Company_100,67.28,91.09,55.09,81.12,93.86,56.1,84.58,81.76,54.39,74.87,51.23,51.1,99.17,36258.14
Company_92,96.82,90.11,57.7,98.88,68.68,62.91,86.75,66.56,79.02,21.28,95.71,70.36,96.25,1158.83
Company_80,57.27,68.48,92.54,79.2,75.55,78.09,72.4,91.87,60.15,15.09,78.37,80.14,94.66,38940.82
Company_49,98.94,80.78,56.85,71.95,91.47,59.93,57.44,92.38,60.18,84.53,60.26,65.65,90.56,18981.41
Company_9,78.37,86.96,65.76,59.48,98.4,69.47,64.87,67.5,84.67,30.62,54.2,98.45,64.36,44785.74
Company_36,68.64,98.94,76.71,87.71,99.61,88.03,79.18,95.81,69.07,65.31,61.64,80.87,68.41,21614.93
Company_75,73.95,75.91,81.57,87.98,50.39,61.41,56.44,57.78,91.23,22.2,62.03,61.97,98.79,21131.72
Company_85,78.5,77.31,71.78,86.31,74.78,57.26,82.95,62.93,51.21,77.48,65.52,68.98,51.35,1199.3
Company_66,65.16,75.17,67.85,52.14,65.72,74.98,58.01,86.68,80.3,20.25,97.62,98.55,57.64,2965.12
Company_63,59.68,79.04,58.49,98.05,94.15,77.74,60.06,52.16,73.02,79.71,54.67,73.21,76.29,3836.31
Company_7,81.55,91.97,70.19,69.81,78.17,54.96,55.22,83.01,93.81,90.13,82.81,76.37,84.62,23868.91
Company_88,58.69,95.4,53.16,97.37,50.69,53.4,69.36,88.75,94.94,50.42,92.68,95.34,71.18,32796.9
Company_63,79.4,79.84,57.84,77.21,66.13,93.28,63.31,96.44,71.11,67.76,88.81,64.27,68.47,16267.32
Company_86,80.56,92.51,94.25,60.85,53.11,99.67,52.06,60.61,77.94,54.61,50.22,62.92,72.14,39522.82
Company_68,99.3,95.9,72.89,97.27,76.7,52.23,94.87,59.62,70.82,53.92,89.8,86.81,91,27998.04
Company_18,69.34,80.29,78.9,75.22,85.16,60.83,51.48,87.38,70.75,92.19,52.81,81.77,83.5,9957.1
Company_39,61.13,62.06,55.35,92.09,76.2,74.93,60.58,96.12,82.12,92.2,66.72,70.91,77.79,2190.53
Company_68,76.38,53.89,90.93,89.33,77.03,99.65,66,81.83,61.75,20.03,86.7,98.65,54.01,2133.1
Company_16,92.04,57.95,61.3,74.02,98.27,69.38,80.11,62.6,59.82,97.6,55.56,90.36,56.88,33764.1
Company_46,82.46,50.68,55.75,76.39,96.08,70.43,91.25,72.03,63.71,25.31,95.77,72.11,56.74,31216.39
Company_38,70.31,65.03,63.15,74.29,92.12,55.84,83.11,67.15,56.26,66.4,95.15,78.11,80.72,19923.56
Company_55,70.1,54.94,99.45,99.7,99.13,58.93,58.1,71,80.79,66.62,52.18,62.99,80.36,9551.66
Company_30,75.84,87.53,76.24,70.36,60.93,96.21,76.88,61.83,56.75,53.64,60.14,56.89,61.67,22476.36
Company_46,82.34,82.07,52.59,59.34,71.54,82.46,70.61,54.34,61.33,49.72,70.07,95.7,86.98,13391.33
Company_26,74.53,53.86,91.1,78.98,74.05,85.3,70.52,81.34,50.2,5.23,69.94,70.63,91.62,46376.71
Company_37,92.77,69.61,91.73,53.77,51.81,51.82,80.24,95.35,54.18,10.64,52.35,79.64,89.97,32198.15
Company_42,65.45,86.36,93.11,52.73,75.95,96.77,73.73,63.44,70.01,86.92,82.73,82.54,62.43,47195.61
Company_21,90.22,59.88,74.95,85.7,83.74,82.34,66.99,78.53,96.7,93.07,72.89,97.91,59.04,1208.17
Company_21,55.45,95.38,93.23,69.99,52.29,68.68,94.33,72.37,81.36,40.4,83.94,90.69,88.71,49600.88
Company_12,60.67,62.26,91.6,51.68,63.49,50.05,51.12,57.38,72.92,78.91,71.03,82.32,57.34,45729.97
Company_98,83.57,53.98,99.8,95.73,65.99,95.88,53.04,59.62,74.95,84.98,74.52,50.74,83.69,17583.15
Company_66,68.7,96.15,78.19,99.12,76.87,67.62,97.7,74.93,67.96,56.09,81.97,86.94,85.85,29077.65
Company_8,63.02,54.95,96.18,98.11,86.89,67.21,98.22,92.03,58.23,80.58,61.42,63.69,66.16,4417.88
Company_30,51.02,98.76,79.66,80.15,85.25,81.36,74.75,64.75,88.73,77.57,61.36,65.45,99.81,33284.55
Company_87,72.83,63.09,81.82,82.18,85.37,95.95,64.12,64.75,92.84,45.44,73.62,69.67,74.94,22000.77
Company_36,95.68,89.61,93.51,90.27,88.68,89.35,60.55,55.14,89.75,62.78,70.5,51.09,89.46,24560.5
Company_77,78.62,71.18,75.3,75.39,62.38,64.58,78.95,68.96,62.98,50.28,56.06,98.02,58.69,28392.78
Company_61,98.48,88.35,91.45,64.21,50.09,95.99,79.61,82.16,73.48,8.86,78.65,87.17,88.33,3465.32
Company_30,63.22,73.37,51.34,55.85,88.53,94.61,57.37,64.34,95.96,71.67,63.76,88.61,67.51,49410.42
Company_54,92.67,92.84,80.97,66.44,61.93,97,82.42,96.65,76.99,91.64,89.17,87.12,61.97,11606.31
Company_27,99.84,53.94,62.8,53.67,53.57,56.18,55.04,69.67,81.87,66,54.73,88.41,76.15,36683.5
Company_71,75.26,81.92,96.63,52.59,92.79,73.22,52.91,72.2,81.09,72.15,97.35,69.24,98.58,11653.06
Company_28,59.28,80.32,52.63,93.68,60.11,96.58,93.87,71.37,72.65,76.9,50.17,86.94,85.69,20828.54
Company_6,74.06,81.02,81.09,62.08,75.86,89.56,80.21,74.73,66.44,65.18,85.02,91.79,92.39,31454.08
Company_25,69.44,72.62,85.91,63.86,83.94,90.54,55.38,79.31,83.68,91.45,99.09,78.43,65.03,40471.39
Company_68,58.28,72.32,90.05,70.97,55.23,87.12,95.9,80.16,78.86,92.85,58.3,91.56,50.89,40620.1
Company_64,97.89,82.06,90.86,98.06,82.38,66.57,53.53,78.71,88.7,66.51,53.56,66.47,61.19,18694.75
Company_50,93.99,74.94,71.21,73.24,52.53,71.15,68.04,55.63,51.02,4.33,51.02,83.15,54.74,31196.78
Company_99,78.15,75.64,82.59,87.77,52.82,91.08,93.89,50.25,56.03,32.56,56.26,93.73,83.52,44502.44
Company_54,59.66,95.34,84.18,94.36,69.15,50.14,91.73,79.9,58.53,63.37,77.81,85.45,95.02,31089.26
Company_64,64.35,83.42,87.98,69.76,80.55,69.24,75.78,65.86,54.44,34.79,87.34,60.32,59.37,42284.67
Company_63,56.7,55.75,85.32,59.64,93.06,72.22,54.85,64.99,82.71,78.3,63.38,68.78,72.3,33160.16
Company_35,65.78,85.83,57.06,82.58,63.14,98.56,58.79,60.13,63.9,94.79,98.29,74.66,87.99,34248.08
Company_86,53.72,67.48,82.32,81.81,50.28,92.69,76.4,72.23,66.02,54.16,55.49,55.93,61.43,18382.63
Company_4,96.88,95.59,80.96,99.86,78.95,76.56,73.84,63.69,91.43,42.96,68.66,90.3,72.65,5392.71
Company_94,72.96,82.7,67.11,66.64,61.73,50.48,85.82,99.74,88.44,18.54,50.05,68.92,54.61,19445.45
Company_39,73.07,65.04,88.23,96.41,72.9,82.12,68.14,59.63,56.96,47.97,82.14,66.88,88.49,21543.41
Company_56,75.98,65.53,74.26,57.59,80.6,89.61,62.18,64.85,93.62,18.58,88.04,51.17,90.09,31101.08
Company_54,91.89,64.82,77.16,92.49,60.99,97.54,94.87,91.77,50.63,87.52,60.19,50,66.72,42047.06
Company_63,85.47,92.93,52.52,78.94,78.78,94.55,53.12,82.47,55.57,47.9,93.38,69.9,70.89,4444.79
Company_51,80.2,72.15,71.54,66.58,55.92,92.37,52.93,73.01,91.99,68.11,81.99,60.14,72.98,11792.43
Company_77,78.76,80.25,96.51,81.1,77.48,72.16,83.65,63.56,71.01,14.87,53.46,60.95,78.39,14969.64
Company_66,83.48,70.16,76.55,72.62,75.42,75.85,78.16,75.24,62.8,34.82,60.84,69.59,85.61,25014.31
Company_88,71.54,66.22,74.41,59.37,50.61,99.33,84.8,88.97,51.79,6.48,85.65,66.65,96.03,9671.37
Company_46,50.8,88.24,76.09,97.06,92.89,59.72,69.23,86.34,54.39,38.19,91.76,53.31,88.05,40808.21
Company_3,76.79,72.47,71.01,91.61,80.46,59.13,65.43,91.49,89.79,64.07,90.65,66.3,64.69,45408.41
Company_73,63.93,55.91,82.68,83.03,78.5,83.2,68.69,81.93,73.46,79.63,76.93,80.56,89.13,32353.88
Company_47,55.31,79.92,53,79.01,63.79,85.46,51.17,72,52.41,30.53,71.61,67.36,69.06,36629.16
Company_70,53.25,98.87,58.03,95.39,78.23,88.03,74.73,54.66,93.27,7.26,81.3,89.48,80.81,5813.82
Company_69,79.83,93.01,71.44,97.86,71.14,75.03,52.5,96.11,53.63,29.15,98.07,81.93,99.67,2034.33
Company_93,69.44,67.11,75.94,91.76,98.52,87.96,63.92,70.46,93.27,96.91,52.51,98.93,84.24,6038.5
Company_71,57.68,51.67,52.94,73.98,79.47,50.58,85.58,85.11,85.08,99.85,58.83,54.18,81.15,49947.54
Company_9,87.32,70.97,82.26,79.47,58.9,70.68,80.44,57.62,65.51,92.99,65.19,55.03,72.37,26476.33
Company_35,79.49,61.62,63.12,59.06,79.95,93.19,68.14,51.89,50.5,80.98,93.04,81.14,96.61,42297.6
Company_18,99.17,82.94,68.02,73.67,78.86,87.6,76.58,92.52,58.27,23.48,75.31,68.54,84.87,22710.27
Company_26,84.71,54.98,98.28,76.13,56.04,89.39,50.21,82.4,66.94,27.65,70.27,93.5,54.57,13547.33
Company_14,60.54,74.75,55.87,90.3,95.28,94.65,62.42,60.24,68.08,21.57,75.21,65.98,99.13,27737.67
Company_22,90.79,78.81,71.62,63.94,57.24,99.03,62.56,86.94,78.45,48.26,89.88,97.16,61.02,8333.02
Company_22,77.59,65.24,75.93,50.62,92.83,94.32,85.47,66.28,66.3,99.9,76.16,80.66,68.69,25050.75
Company_38,52.08,51.16,71.39,59.36,76.08,77.05,86.73,87.42,78.83,74.92,93.36,87.63,75.97,43038.04
Company_81,81.99,60.14,85.34,69.03,68.36,97.59,76.18,76.92,91.32,14.36,56.79,54.13,86.2,43577.75
Company_53,99.68,54.77,95.23,59.9,97.06,51,56.78,87.36,99.41,30.07,60.75,64.28,54.22,19290.5
Company_57,73.84,76.86,50.4,75.47,60.58,68.99,83.78,74.38,61.82,59.01,71.98,51.55,84.9,17535.93
Company_89,98.55,82.95,80.59,79.17,53.76,75.29,86.93,58.79,57.5,22.3,89.14,90.05,76.98,17305.79
Company_43,72.65,57.73,58.45,74.34,63.49,92.25,87.98,64.41,55.69,92.68,81.31,50.6,87.97,37639.93
Company_85,60.28,53.76,83.89,63.44,79.4,70.39,99.13,84.36,69.33,5.69,60.48,97.13,62.82,14750.75
Company_6,95.79,57.6,57.04,80.26,53.71,79.63,63.15,97.56,82.9,51.87,76.46,69.06,82.61,22193.62
Company_75,75.81,81.7,68.01,74.24,74.77,50.74,68.66,89.94,87.51,65.09,62.27,79.92,84.7,36801.07
Company_84,97.67,80.72,83.76,51.73,80.68,95.65,79.06,53.67,60.71,52.87,58.41,91.15,65.8,38024.47
Company_87,98.31,87.23,95.7,96.8,76.26,75.72,88.13,54.59,94.79,28.23,73.02,60.22,88.17,27872.96
Company_52,51.28,74.4,88.98,82.51,83.12,70.7,99.08,64.31,89.1,80.22,63.6,92.02,51.47,39217.89
Company_23,71.58,84.2,75.22,92.68,77.95,85.54,60.62,97.64,88.79,58.73,53.63,90.05,99.68,39723.87
Company_30,75.62,55.86,56.08,99.17,74.41,62.03,78.5,97.93,68.79,26.14,85.8,87.96,88.56,15554.91
Company_5,53.29,80.96,72.04,58.31,97.68,87.34,54.57,94.54,55.24,38.64,57.97,69.38,63.96,26754.86
Company_28,52.86,65.74,77.22,76.39,87.56,55.34,72.39,65.42,85.16,49.39,93.43,54.59,53.61,34615.88
Company_11,76.65,94.41,55.15,51.22,69.05,58.34,63.09,56.51,72.68,8.94,93.84,78.74,70.73,30940.63
Company_29,54.84,59.75,82.62,72.98,59.04,98.68,82.94,66.19,61.28,16.99,93.37,53.76,91.28,3083.59
Company_85,72.44,69.41,69.38,94.37,54.55,51.49,94.38,79.84,50.24,75.56,93.28,93.27,78.28,2567.46
Company_31,90.8,71.7,92.12,74.55,87.15,73.27,51.82,68.22,84.81,55.14,78.57,60.23,57.14,2756.88
Company_88,94.37,91.68,63.61,51.36,85.51,62.05,97.74,71.06,66.27,31.23,53.41,96.92,60.34,18190.71
Company_63,62.21,93.25,96.71,86.46,60.35,68.16,66.9,82.88,51.47,20.3,69.79,91.75,53.73,44045.81
Company_20,64.67,69.19,83.05,60.08,84.01,65.47,78.35,70.74,61.94,22.23,78.17,75.87,81.89,1005.91
Company_47,74.03,74.41,52.19,93.68,50.58,80.25,50.97,89.77,64.92,68.17,69.59,85.67,79.4,10830.02
