Company,Financial_Instrument,Stock_Exchange,Investment_Amount,Currency,Investment_Date
Company_37,Futures,BSE,4551744.96,JPY,2020-08-20
Company_33,Derivatives,NSE,4843377.92,GBP,2017-09-12
Company_29,Mortgages,TSX,6407222.82,GBP,2016-05-06
Company_48,Swaps,BSE,8073959.74,GBP,2010-08-14
Company_91,Options,HKEX,9876144.74,GBP,2023-11-12
Company_27,Bonds,BSE,8847855.75,INR,2021-08-15
Company_50,Commodities,ASX,3444233.19,CNY,2012-12-17
Company_27,Fixed Income,HKEX,7154639.63,JPY,2023-12-22
Company_80,Derivatives,NSE,5527234.61,CNY,2015-11-10
Company_28,Bonds,LSE,4755301.26,INR,2014-10-14
Company_7,Fixed Income,HKEX,3443063.21,GBP,2020-07-17
Company_56,Mortgages,NSE,335970.42,JPY,2016-10-22
Company_23,Equities,SSE,7715476.3,CNY,2019-04-05
Company_53,Derivatives,NSE,2532414.96,GBP,2022-08-11
Company_79,Futures,JPX,7379644.46,USD,2020-02-26
Company_9,Commitments,NYSE,185819.96,USD,2015-02-11
Company_46,Fixed Income,LSE,9583770.18,AUD,2023-02-12
Company_80,Derivatives,SSE,9054699.94,INR,2017-06-23
Company_23,Equities,TSX,1104844.94,GBP,2012-03-14
Company_16,Options,SSE,4155830.92,INR,2021-05-23
Company_32,Commitments,LSE,9100929.76,EUR,2022-01-05
Company_49,Commodities,BSE,4821112.45,USD,2019-12-27
Company_47,Commodities,SSE,5761911.46,INR,2010-08-22
Company_73,Derivatives,ASX,9879371.46,CAD,2011-03-05
Company_80,Equities,BSE,9175963.67,EUR,2022-11-07
Company_82,Derivatives,TSX,7142941.0,EUR,2015-10-26
Company_64,Swaps,SSE,8921372.21,CNY,2012-06-28
Company_33,Fixed Income,JPX,2874433.82,USD,2017-06-06
Company_7,Fixed Income,TSX,2704822.56,CNY,2015-01-09
Company_96,Commodities,NASDAQ,3395896.75,USD,2012-10-01
Company_95,Futures,NYSE,3096833.64,JPY,2017-07-13
Company_5,Equities,BSE,3422785.63,CNY,2016-12-11
Company_17,Derivatives,TSX,5568588.23,INR,2014-05-03
Company_58,Commitments,ASX,8628643.46,EUR,2010-03-26
Company_98,Commitments,HKEX,836704.81,CAD,2011-03-19
Company_31,Commitments,NASDAQ,195487.91,USD,2021-06-28
Company_80,Commitments,LSE,5869273.66,INR,2020-06-26
Company_86,Commitments,SSE,1307586.11,GBP,2013-12-03
Company_24,Commitments,NASDAQ,138027.24,JPY,2013-01-23
Company_11,Bonds,ASX,6291972.23,JPY,2017-04-23
Company_64,Futures,LSE,4745183.51,USD,2017-03-17
Company_1,Commitments,LSE,9744484.52,AUD,2012-09-19
Company_25,Commitments,NASDAQ,1963165.31,CAD,2022-04-06
Company_51,Futures,TSX,6055384.25,AUD,2013-07-09
Company_45,Fixed Income,JPX,169132.38,AUD,2014-03-03
Company_8,Commitments,NSE,3507810.2,USD,2019-07-03
Company_87,Commodities,NYSE,9773959.87,EUR,2015-10-25
Company_47,Futures,NASDAQ,5735091.17,CAD,2017-06-24
Company_62,Derivatives,NSE,3072447.04,INR,2015-09-24
Company_25,Fixed Income,SSE,1788474.1,CAD,2016-08-15
Company_42,Bonds,NSE,8699955.08,INR,2017-03-05
Company_95,Bonds,BSE,9501377.64,GBP,2022-06-13
Company_81,Mortgages,BSE,3720529.49,CNY,2022-11-06
Company_20,Futures,LSE,2248238.49,USD,2016-08-05
Company_35,Derivatives,HKEX,314638.65,CNY,2012-05-27
Company_71,Equities,HKEX,1980465.98,INR,2016-07-28
Company_21,Commodities,NYSE,3598357.13,EUR,2011-06-23
Company_62,Futures,TSX,1500630.17,INR,2022-04-14
Company_63,Swaps,TSX,6351935.19,CAD,2020-05-22
Company_80,Bonds,SSE,1306289.14,GBP,2018-05-11
Company_93,Derivatives,LSE,3758718.65,INR,2011-01-15
Company_48,Bonds,HKEX,2173614.29,CAD,2021-04-28
Company_41,Commodities,TSX,5594457.9,CAD,2021-04-05
Company_42,Futures,HKEX,7110238.34,JPY,2023-04-16
Company_73,Commodities,NYSE,3203254.48,EUR,2016-03-20
Company_42,Commitments,JPX,4960310.73,AUD,2011-08-13
Company_100,Fixed Income,TSX,7147885.43,CAD,2023-01-16
Company_32,Fixed Income,NYSE,3339422.34,INR,2018-03-26
Company_35,Derivatives,NSE,9854317.24,JPY,2023-11-07
Company_77,Futures,NASDAQ,3026633.79,USD,2021-04-17
Company_65,Equities,HKEX,7928022.12,CNY,2021-01-10
Company_34,Fixed Income,LSE,3031423.4,USD,2020-11-25
Company_54,Commitments,ASX,4702900.86,GBP,2017-11-13
Company_72,Mortgages,SSE,4496978.85,CAD,2011-05-15
Company_36,Fixed Income,SSE,4588001.49,GBP,2019-03-11
Company_3,Commitments,NYSE,8690603.21,INR,2015-03-11
Company_93,Bonds,JPX,352106.1,CNY,2020-06-13
Company_23,Derivatives,SSE,8377125.89,USD,2020-05-11
Company_73,Futures,NYSE,8844270.17,USD,2021-12-23
Company_17,Commodities,NASDAQ,9276792.47,GBP,2012-02-17
Company_21,Fixed Income,NASDAQ,7571129.7,CAD,2015-02-14
Company_44,Commitments,NSE,4065542.78,USD,2018-07-21
Company_51,Mortgages,JPX,8246174.92,JPY,2017-03-04
Company_98,Equities,HKEX,2468727.22,USD,2010-11-27
Company_90,Fixed Income,NSE,519708.84,JPY,2022-04-05
Company_18,Options,ASX,3297207.52,CNY,2010-09-25
Company_38,Commodities,NYSE,6729456.53,CNY,2018-02-02
Company_26,Futures,NYSE,2167482.43,INR,2010-06-23
Company_11,Futures,ASX,5140571.48,GBP,2016-04-05
Company_69,Swaps,SSE,2886029.77,CAD,2018-07-06
Company_26,Futures,TSX,3411408.84,CAD,2014-07-04
Company_84,Equities,NSE,385293.03,CNY,2013-03-04
Company_6,Bonds,NASDAQ,7453852.74,JPY,2013-10-24
Company_96,Equities,HKEX,8877856.32,AUD,2015-08-02
Company_83,Fixed Income,SSE,8913044.5,AUD,2013-09-01
Company_40,Swaps,HKEX,8312913.21,CAD,2013-08-24
Company_50,Derivatives,NSE,9843871.91,GBP,2017-08-18
Company_77,Equities,HKEX,868973.84,EUR,2010-01-20
Company_7,Swaps,TSX,9308578.33,AUD,2017-07-24
Company_73,Mortgages,NASDAQ,630024.62,JPY,2020-04-14
Company_95,Derivatives,NASDAQ,2871788.94,USD,2014-01-04
Company_39,Mortgages,TSX,4623583.73,JPY,2011-11-24
Company_88,Swaps,NSE,1828354.77,EUR,2011-12-08
Company_59,Futures,JPX,2804032.08,USD,2021-10-16
Company_9,Mortgages,HKEX,745061.89,CNY,2010-01-16
Company_56,Commodities,BSE,1832726.64,USD,2019-01-22
Company_9,Equities,TSX,7216821.29,JPY,2022-05-01
Company_86,Equities,HKEX,2424703.16,INR,2022-01-21
Company_6,Futures,BSE,5633549.52,INR,2022-04-23
Company_96,Swaps,TSX,3703944.47,CAD,2017-08-18
Company_21,Derivatives,ASX,7289366.17,GBP,2015-12-21
Company_45,Bonds,LSE,5844096.73,CAD,2017-06-25
Company_38,Mortgages,NSE,6789535.9,CNY,2015-07-03
Company_78,Equities,LSE,3394760.35,CAD,2020-08-15
Company_97,Options,LSE,8908434.98,CAD,2018-11-05
Company_77,Derivatives,JPX,6363704.72,GBP,2023-10-05
Company_27,Bonds,NASDAQ,8252089.37,EUR,2018-09-02
Company_67,Commitments,SSE,140000.91,GBP,2021-04-22
Company_91,Derivatives,NSE,1257521.32,CAD,2018-07-17
Company_85,Bonds,HKEX,5812492.39,CNY,2021-02-08
Company_82,Commodities,LSE,8360057.87,JPY,2021-01-26
Company_65,Commitments,NSE,1529119.94,EUR,2021-05-08
Company_97,Bonds,TSX,8269796.36,EUR,2023-04-01
Company_3,Swaps,TSX,1298647.8,GBP,2023-11-03
Company_9,Equities,NSE,9515025.3,CNY,2015-11-13
Company_2,Futures,TSX,3497378.92,CAD,2013-05-14
Company_80,Futures,NSE,6388674.05,USD,2020-08-02
Company_64,Derivatives,ASX,407299.17,INR,2023-07-25
Company_69,Commitments,BSE,6917052.3,CAD,2020-08-01
Company_49,Swaps,NSE,7614589.8,EUR,2017-05-18
Company_12,Commitments,HKEX,7270358.49,EUR,2017-07-24
Company_44,Fixed Income,SSE,9841602.44,USD,2015-05-18
Company_100,Commodities,HKEX,6175800.81,EUR,2010-11-05
Company_76,Swaps,JPX,4499856.72,GBP,2017-05-23
Company_73,Bonds,JPX,6571652.93,USD,2014-10-04
Company_90,Options,NSE,1821794.92,INR,2014-03-02
Company_38,Futures,ASX,4324642.86,GBP,2023-02-07
Company_62,Commodities,HKEX,156355.75,GBP,2022-07-02
Company_39,Mortgages,HKEX,3466697.06,INR,2013-12-15
Company_90,Commitments,NASDAQ,1727889.46,GBP,2021-10-19
Company_4,Commodities,NSE,3730088.87,CNY,2010-12-17
Company_89,Derivatives,JPX,1152648.29,INR,2010-05-14
Company_72,Bonds,NASDAQ,745235.87,AUD,2020-06-16
Company_52,Options,HKEX,9075500.78,GBP,2011-01-06
Company_12,Futures,LSE,6679945.4,INR,2020-09-12
Company_72,Equities,NSE,761506.96,GBP,2019-07-04
Company_72,Swaps,HKEX,2104227.94,AUD,2012-12-23
Company_51,Swaps,ASX,693940.46,USD,2011-09-22
Company_35,Futures,JPX,187689.16,GBP,2015-04-28
Company_62,Fixed Income,HKEX,6673959.88,INR,2017-04-04
Company_23,Bonds,JPX,6370625.98,EUR,2012-11-05
Company_66,Mortgages,NASDAQ,4829115.14,EUR,2019-03-08
Company_81,Bonds,ASX,9382324.64,AUD,2016-01-25
Company_56,Swaps,ASX,7828256.8,USD,2013-11-24
Company_48,Bonds,NSE,6103721.47,JPY,2021-03-16
Company_79,Options,BSE,6495805.51,GBP,2013-10-17
Company_37,Commodities,NASDAQ,4384141.12,USD,2016-02-18
Company_11,Mortgages,NYSE,3758259.17,CNY,2014-08-21
Company_44,Equities,JPX,6092429.1,AUD,2023-08-17
Company_63,Bonds,SSE,6982970.66,GBP,2017-06-03
Company_89,Commodities,ASX,5374117.23,EUR,2014-11-09
Company_35,Equities,SSE,5183827.31,CAD,2015-04-19
Company_25,Derivatives,TSX,1999280.75,CAD,2018-11-14
Company_36,Equities,SSE,4296096.31,JPY,2022-10-26
Company_18,Equities,HKEX,6902323.47,CAD,2021-09-18
Company_42,Fixed Income,NSE,5859315.36,GBP,2011-12-24
Company_38,Fixed Income,HKEX,6021499.33,CAD,2012-11-26
Company_64,Derivatives,HKEX,3977139.34,AUD,2019-08-18
Company_44,Mortgages,TSX,6099239.19,AUD,2011-07-27
Company_71,Bonds,NYSE,758809.4,AUD,2017-08-18
Company_75,Equities,JPX,5717791.04,JPY,2014-01-14
Company_81,Commodities,SSE,1169983.84,CNY,2016-06-04
Company_18,Mortgages,NASDAQ,3677215.84,USD,2010-02-09
Company_14,Options,JPX,2757301.47,EUR,2021-11-14
Company_27,Swaps,SSE,692810.85,EUR,2015-10-24
Company_36,Equities,BSE,2482734.69,JPY,2019-10-19
Company_97,Equities,JPX,3600159.24,JPY,2012-01-18
Company_75,Derivatives,HKEX,1801239.12,CNY,2013-09-20
Company_3,Mortgages,NASDAQ,5755278.71,AUD,2022-08-04
Company_13,Fixed Income,BSE,2287637.51,INR,2019-03-06
Company_29,Equities,NASDAQ,131366.78,AUD,2016-10-28
Company_77,Bonds,NSE,2212539.33,EUR,2023-02-14
Company_92,Commodities,NSE,1588816.79,CNY,2023-10-25
Company_49,Swaps,JPX,7674052.79,JPY,2020-08-14
Company_68,Derivatives,ASX,305086.49,CNY,2023-08-20
Company_27,Derivatives,LSE,7064218.24,CNY,2012-07-07
Company_28,Derivatives,ASX,4110512.62,JPY,2021-05-08
Company_49,Futures,NSE,9610485.28,JPY,2020-12-03
Company_58,Swaps,BSE,5759399.48,CAD,2016-01-16
Company_56,Commodities,BSE,985662.96,AUD,2015-04-09
Company_47,Equities,NSE,1665172.18,JPY,2023-10-21
Company_67,Futures,JPX,8120407.32,USD,2016-06-02
Company_98,Fixed Income,NASDAQ,7100335.03,GBP,2011-10-23
Company_71,Swaps,TSX,884628.08,AUD,2017-03-10
Company_19,Bonds,TSX,8722986.29,GBP,2013-07-10
Company_22,Options,NASDAQ,2394974.79,EUR,2019-01-19
Company_84,Mortgages,TSX,5524591.66,CNY,2012-04-01
Company_26,Futures,NASDAQ,767082.82,EUR,2014-03-18
Company_16,Commodities,JPX,7632516.79,GBP,2012-09-06
Company_32,Swaps,ASX,8568532.55,AUD,2018-01-17
Company_65,Swaps,BSE,1435996.13,USD,2017-03-28
Company_17,Fixed Income,SSE,8359371.21,AUD,2017-04-15
Company_23,Commitments,HKEX,1704660.32,USD,2011-07-05
Company_1,Equities,NSE,5336041.22,INR,2020-07-18
Company_70,Bonds,JPX,4719540.12,CAD,2022-10-19
Company_92,Bonds,TSX,5282357.12,CNY,2012-09-28
Company_64,Mortgages,NYSE,2148240.82,CAD,2023-05-04
Company_78,Bonds,BSE,3821847.8,CAD,2010-06-16
Company_26,Swaps,HKEX,4411821.62,GBP,2017-10-26
Company_98,Mortgages,TSX,4023971.64,GBP,2010-04-15
Company_33,Commodities,BSE,4716855.58,INR,2015-04-15
Company_17,Bonds,NYSE,2529123.47,GBP,2020-02-10
Company_48,Swaps,ASX,4704385.23,CNY,2020-07-03
Company_77,Equities,ASX,8228832.77,INR,2010-08-03
Company_46,Derivatives,HKEX,3172383.57,GBP,2010-02-05
Company_96,Options,TSX,692880.93,JPY,2020-09-12
Company_4,Commodities,BSE,3407005.22,INR,2015-10-11
Company_37,Derivatives,NYSE,8032117.2,EUR,2017-08-14
Company_98,Options,NYSE,6696568.17,EUR,2012-07-11
Company_85,Commodities,TSX,1525119.62,JPY,2011-10-13
Company_36,Bonds,HKEX,514727.33,AUD,2010-03-07
Company_54,Futures,HKEX,4234131.61,GBP,2016-09-19
Company_33,Fixed Income,NYSE,9911162.34,GBP,2023-01-09
Company_94,Commodities,NASDAQ,2269035.07,GBP,2020-08-04
Company_11,Commodities,ASX,6206303.71,CAD,2023-08-09
Company_74,Options,JPX,8902786.0,CAD,2020-11-11
Company_68,Mortgages,SSE,5248477.98,AUD,2022-10-25
Company_32,Fixed Income,NYSE,4395346.33,AUD,2015-09-10
Company_64,Bonds,NYSE,9525794.48,AUD,2022-05-04
Company_19,Options,HKEX,8460433.13,JPY,2013-08-05
Company_13,Options,JPX,3693629.79,CNY,2016-10-11
Company_39,Commitments,HKEX,1708210.21,INR,2020-02-25
Company_41,Swaps,BSE,4118654.59,CNY,2012-07-16
Company_4,Derivatives,ASX,1270441.4,JPY,2017-08-13
Company_76,Fixed Income,BSE,4358045.77,JPY,2014-04-20
Company_22,Derivatives,LSE,6020023.42,CNY,2023-02-04
Company_11,Commitments,NYSE,1585457.86,CNY,2017-02-26
Company_90,Mortgages,NYSE,120663.89,GBP,2010-03-10
Company_47,Derivatives,SSE,966449.88,GBP,2014-06-04
Company_5,Futures,NASDAQ,9883028.22,USD,2023-04-26
Company_22,Bonds,NSE,1164630.86,AUD,2019-09-03
Company_79,Equities,LSE,742930.95,AUD,2012-11-25
Company_90,Options,NASDAQ,5014513.68,JPY,2021-05-02
Company_51,Derivatives,LSE,6979596.84,INR,2015-09-10
Company_38,Bonds,BSE,8088962.06,JPY,2022-05-22
Company_42,Fixed Income,HKEX,4666738.94,GBP,2010-02-02
Company_76,Commitments,LSE,1165977.49,INR,2012-03-24
Company_10,Equities,ASX,6908485.49,JPY,2021-08-14
Company_53,Commitments,JPX,7320866.51,AUD,2021-04-16
Company_84,Swaps,ASX,1649656.47,JPY,2015-02-02
Company_5,Equities,BSE,1946968.67,INR,2017-11-13
Company_91,Derivatives,NSE,1415742.22,CAD,2021-12-14
Company_85,Derivatives,SSE,8694525.24,GBP,2010-03-09
Company_54,Commitments,NSE,8767657.5,CAD,2012-01-05
Company_31,Options,SSE,5004040.71,AUD,2013-12-06
Company_54,Swaps,NYSE,6352225.82,CAD,2022-10-12
Company_44,Swaps,NASDAQ,4879703.82,JPY,2013-03-11
Company_88,Options,TSX,5355604.08,JPY,2016-12-26
Company_6,Commodities,SSE,5516519.49,INR,2010-05-11
Company_3,Bonds,SSE,6307723.06,EUR,2017-07-15
Company_78,Futures,HKEX,9238586.19,JPY,2017-05-10
Company_84,Swaps,HKEX,6717479.05,AUD,2016-05-01
Company_68,Fixed Income,NYSE,2295829.29,INR,2013-07-01
Company_56,Swaps,NASDAQ,8043672.66,AUD,2018-09-14
Company_3,Options,TSX,7712118.52,USD,2017-10-07
Company_69,Options,TSX,7818780.51,JPY,2016-09-24
Company_43,Mortgages,JPX,6595415.07,USD,2020-07-03
Company_43,Fixed Income,NSE,304839.87,GBP,2021-12-09
Company_22,Equities,TSX,4214198.91,CNY,2013-12-06
Company_47,Commitments,TSX,3163975.0,EUR,2011-03-28
Company_16,Swaps,HKEX,753224.5,AUD,2012-02-25
Company_58,Derivatives,NASDAQ,5054584.43,INR,2018-02-16
Company_86,Futures,TSX,7876420.33,CAD,2022-02-12
Company_23,Bonds,HKEX,5498514.1,AUD,2021-01-20
Company_99,Commitments,NASDAQ,1706692.1,CAD,2012-09-27
Company_89,Options,HKEX,4839034.52,CAD,2010-06-28
Company_50,Bonds,NASDAQ,8092022.88,CNY,2013-03-07
Company_80,Commodities,SSE,7502570.0,EUR,2021-04-27
Company_85,Commodities,JPX,7731306.26,CNY,2015-11-12
Company_26,Swaps,NYSE,4583803.25,USD,2019-06-01
Company_86,Derivatives,ASX,4213783.46,USD,2015-08-03
Company_18,Commitments,SSE,5253090.38,EUR,2019-03-16
Company_64,Options,JPX,7286446.44,CAD,2011-10-26
Company_5,Derivatives,HKEX,3189375.95,CNY,2014-01-28
Company_14,Swaps,TSX,6681754.29,GBP,2021-05-27
Company_49,Mortgages,TSX,3465417.83,CNY,2011-09-12
Company_10,Commodities,TSX,7412421.13,CNY,2010-01-10
Company_42,Mortgages,NASDAQ,8708098.36,EUR,2015-02-04
Company_34,Derivatives,ASX,8895243.02,GBP,2019-04-19
Company_11,Fixed Income,NYSE,2837497.49,EUR,2022-12-18
Company_74,Options,TSX,9072562.2,AUD,2011-07-25
Company_6,Equities,BSE,1020378.03,CAD,2014-12-02
Company_18,Commitments,NASDAQ,9494939.87,USD,2011-08-02
Company_61,Derivatives,BSE,5465447.68,AUD,2012-10-18
Company_32,Commitments,ASX,1766960.09,EUR,2020-01-16
Company_28,Mortgages,LSE,7404830.54,JPY,2016-01-22
Company_67,Equities,SSE,7967144.03,JPY,2017-09-08
Company_8,Bonds,HKEX,6171253.77,CNY,2013-09-10
Company_45,Mortgages,BSE,9739842.79,CNY,2019-05-09
Company_32,Futures,NASDAQ,7098353.19,AUD,2020-10-16
Company_1,Commitments,BSE,5948299.86,AUD,2021-03-19
Company_24,Futures,NASDAQ,9675026.2,JPY,2012-12-02
Company_30,Fixed Income,NYSE,7339399.6,CNY,2012-04-09
Company_15,Futures,NYSE,6553344.67,EUR,2023-12-01
Company_53,Commitments,ASX,2142701.12,GBP,2012-12-21
Company_16,Derivatives,ASX,9774775.05,CNY,2020-09-22
Company_36,Commodities,HKEX,8591786.7,GBP,2013-07-12
Company_25,Fixed Income,NSE,4940243.78,AUD,2016-01-09
Company_1,Bonds,NSE,1670190.48,USD,2021-08-17
Company_38,Fixed Income,BSE,1193123.21,AUD,2012-05-09
Company_23,Bonds,NYSE,4785016.27,EUR,2019-08-12
Company_39,Fixed Income,NSE,2089147.67,AUD,2023-08-13
Company_35,Mortgages,NSE,2283600.01,GBP,2010-04-21
Company_63,Bonds,HKEX,9866281.87,GBP,2011-05-24
Company_48,Options,TSX,6930087.71,AUD,2023-11-17
Company_40,Bonds,NYSE,723380.96,EUR,2013-05-09
Company_32,Options,SSE,5786695.34,GBP,2020-08-17
Company_1,Mortgages,NYSE,3341029.1,CNY,2019-06-01
Company_62,Fixed Income,LSE,1173815.73,AUD,2021-07-09
Company_90,Equities,SSE,2074720.43,CNY,2020-10-19
Company_73,Derivatives,NASDAQ,3861222.99,JPY,2013-06-02
Company_44,Derivatives,NSE,7613372.62,CAD,2017-04-14
Company_72,Swaps,NASDAQ,1121604.91,GBP,2013-07-28
Company_6,Fixed Income,NSE,4182362.76,EUR,2011-11-18
Company_57,Mortgages,HKEX,7406442.3,JPY,2015-02-02
Company_33,Swaps,SSE,4150467.99,AUD,2020-10-15
Company_27,Commitments,ASX,9243314.91,EUR,2011-05-26
Company_77,Options,HKEX,537288.49,AUD,2018-03-22
Company_97,Swaps,NSE,8188947.64,JPY,2022-07-11
Company_13,Commitments,JPX,5870504.18,AUD,2010-07-23
Company_45,Derivatives,NSE,5607239.93,GBP,2010-12-04
Company_81,Futures,NYSE,6706256.09,JPY,2012-03-08
Company_95,Swaps,LSE,2038974.95,JPY,2013-03-10
Company_59,Swaps,NSE,2333689.25,GBP,2010-02-24
Company_93,Fixed Income,ASX,6308592.61,AUD,2023-11-14
Company_20,Commitments,LSE,4789927.52,USD,2012-06-02
Company_69,Mortgages,BSE,1174391.76,GBP,2013-02-05
Company_54,Commitments,BSE,2369645.56,GBP,2014-12-17
Company_92,Options,JPX,9504672.08,CAD,2017-03-27
Company_77,Options,SSE,2234317.1,INR,2016-03-20
Company_57,Equities,ASX,2676263.82,JPY,2021-01-07
Company_52,Equities,BSE,7748324.87,INR,2011-10-04
Company_89,Mortgages,NYSE,2374404.45,EUR,2018-08-13
Company_84,Futures,LSE,623033.81,GBP,2018-04-26
Company_17,Fixed Income,NYSE,5133318.21,EUR,2013-09-18
Company_11,Derivatives,JPX,5421908.04,AUD,2014-06-18
Company_18,Mortgages,NYSE,4334435.0,JPY,2012-04-23
Company_82,Commitments,JPX,1563439.99,INR,2011-07-24
Company_82,Options,NASDAQ,7403637.0,CAD,2017-03-22
Company_36,Derivatives,NYSE,427750.63,USD,2022-01-25
Company_86,Swaps,NYSE,927974.6,GBP,2022-12-26
Company_82,Futures,NASDAQ,918062.8,JPY,2017-02-15
Company_69,Derivatives,NYSE,7895911.28,USD,2021-03-12
Company_41,Bonds,NASDAQ,7967426.7,AUD,2022-05-09
Company_21,Commitments,JPX,8146382.16,INR,2014-08-17
Company_99,Commitments,LSE,1839677.17,AUD,2018-10-26
Company_6,Derivatives,BSE,4741856.44,CNY,2017-01-02
Company_77,Swaps,NYSE,6654167.43,JPY,2016-06-21
Company_44,Commitments,ASX,7266602.34,AUD,2018-03-13
Company_49,Futures,NASDAQ,2434437.57,GBP,2022-05-17
Company_30,Derivatives,ASX,6647106.66,CAD,2014-03-26
Company_74,Bonds,NYSE,5570178.92,USD,2020-08-02
Company_53,Fixed Income,HKEX,4160816.29,INR,2019-06-26
Company_3,Futures,JPX,1929187.63,EUR,2010-05-26
Company_7,Commitments,BSE,2602869.68,EUR,2018-09-24
Company_1,Equities,TSX,9625305.27,GBP,2018-08-16
Company_32,Options,HKEX,3843070.42,JPY,2018-11-03
Company_52,Equities,HKEX,1633123.24,EUR,2012-12-13
Company_80,Equities,LSE,5265062.41,AUD,2016-05-06
Company_3,Fixed Income,BSE,7589146.6,GBP,2015-12-24
Company_68,Bonds,HKEX,1130519.62,AUD,2011-08-28
Company_6,Bonds,TSX,9459983.18,CNY,2012-06-25
Company_48,Equities,NYSE,1947231.97,JPY,2021-11-12
Company_44,Options,LSE,3008947.7,USD,2020-02-16
Company_49,Equities,BSE,7941728.33,AUD,2018-10-27
Company_68,Options,NYSE,7743165.28,EUR,2015-04-18
Company_90,Options,JPX,1866700.83,AUD,2015-12-05
Company_60,Futures,NYSE,6769410.07,CAD,2010-05-22
Company_82,Swaps,TSX,2464289.34,JPY,2013-06-07
Company_68,Equities,SSE,3219230.72,EUR,2016-12-08
Company_19,Commitments,NASDAQ,1036291.4,INR,2018-08-24
Company_16,Options,NYSE,6103919.31,JPY,2013-10-03
Company_81,Fixed Income,NSE,2246144.35,CNY,2020-06-08
Company_6,Bonds,NYSE,7261272.07,EUR,2022-10-25
Company_65,Commodities,ASX,9915077.36,EUR,2017-09-28
Company_53,Options,JPX,8929056.56,USD,2012-04-27
Company_4,Swaps,SSE,1156783.32,CNY,2011-09-05
Company_77,Options,NYSE,2519419.78,CNY,2015-08-21
Company_90,Commodities,TSX,7319685.43,EUR,2021-07-01
Company_80,Fixed Income,BSE,3742257.98,CAD,2012-01-03
Company_40,Futures,NASDAQ,8104284.76,AUD,2011-09-10
Company_29,Fixed Income,BSE,5345896.36,CAD,2023-01-19
Company_18,Bonds,HKEX,1788946.82,GBP,2013-10-20
Company_65,Mortgages,NASDAQ,2477409.62,AUD,2015-06-14
Company_10,Commitments,TSX,9344400.98,AUD,2012-09-18
Company_53,Swaps,ASX,6341731.78,CAD,2013-08-13
Company_55,Bonds,NYSE,5241458.61,EUR,2011-12-05
Company_55,Swaps,NYSE,9444094.76,USD,2018-04-12
Company_50,Bonds,SSE,974959.49,USD,2016-03-22
Company_59,Commitments,ASX,9409061.47,JPY,2011-03-25
Company_28,Equities,ASX,3622373.86,CNY,2018-09-06
Company_56,Futures,NASDAQ,4905322.62,INR,2016-09-21
Company_19,Futures,HKEX,9840806.79,AUD,2014-12-02
Company_15,Fixed Income,TSX,8973968.93,USD,2022-09-15
Company_100,Fixed Income,ASX,3054558.54,INR,2023-11-18
Company_95,Options,LSE,4133826.75,JPY,2013-11-12
Company_79,Commitments,NYSE,1114499.92,CAD,2017-12-23
Company_3,Futures,NYSE,5123254.78,EUR,2022-05-10
Company_74,Mortgages,NYSE,7175062.42,INR,2014-10-26
Company_22,Bonds,SSE,7091000.21,CNY,2022-10-19
Company_49,Equities,JPX,6453318.26,INR,2011-09-10
Company_19,Options,ASX,5834867.86,JPY,2012-06-19
Company_14,Equities,NYSE,7745765.07,AUD,2019-10-26
Company_25,Mortgages,HKEX,1172713.19,JPY,2014-03-25
Company_56,Bonds,SSE,5642502.75,USD,2016-10-23
Company_3,Options,NSE,1634508.08,EUR,2017-07-01
Company_83,Commodities,LSE,7517837.92,AUD,2018-12-08
Company_67,Futures,HKEX,3325203.06,CAD,2020-04-17
Company_18,Options,NYSE,8376115.37,AUD,2023-01-12
Company_53,Commitments,LSE,9032260.22,CNY,2015-01-18
Company_19,Bonds,SSE,7654742.16,GBP,2016-11-09
Company_12,Options,BSE,5771841.44,CAD,2016-11-03
Company_28,Swaps,JPX,4871097.87,CNY,2011-11-27
Company_88,Mortgages,HKEX,8091601.41,CAD,2019-06-25
Company_16,Equities,HKEX,7794464.26,CNY,2018-03-08
Company_76,Equities,JPX,2791824.41,USD,2023-01-27
Company_22,Commodities,HKEX,109683.98,CNY,2019-07-13
Company_9,Swaps,NASDAQ,8353731.73,CNY,2018-04-03
Company_11,Fixed Income,SSE,3414925.72,USD,2010-02-13
Company_68,Swaps,SSE,6518023.45,EUR,2014-11-20
Company_10,Derivatives,NYSE,4586055.33,GBP,2023-11-17
Company_26,Futures,NSE,6456524.85,GBP,2010-12-12
Company_29,Equities,TSX,266497.25,INR,2017-08-20
Company_37,Bonds,LSE,676001.79,INR,2012-12-13
Company_98,Bonds,LSE,6003488.9,CAD,2010-09-26
Company_12,Commodities,NSE,9236006.12,USD,2012-10-23
Company_78,Commitments,TSX,325077.19,AUD,2011-04-07
Company_26,Commodities,HKEX,982949.78,GBP,2015-06-23
Company_22,Fixed Income,ASX,9166611.9,CNY,2011-08-18
Company_11,Commodities,NYSE,2128678.72,GBP,2020-02-03
Company_78,Mortgages,NYSE,3860312.54,JPY,2022-07-08
Company_66,Derivatives,LSE,4730504.32,CAD,2016-02-07
Company_28,Commodities,NASDAQ,8924865.38,AUD,2014-05-19
Company_7,Mortgages,SSE,3297924.37,GBP,2023-07-10
Company_66,Swaps,NASDAQ,4368481.47,AUD,2010-04-15
Company_27,Equities,NASDAQ,4043759.82,EUR,2012-08-24
